line,name,where
1,서울역,섬식(상) 5-1
1,서울역,2번 출구측
1,서울역,4번 출구측
1,서울역,3번 출구측
1,시청,상행 3-2
1,시청,하행 8-3
1,시청,1-2번 출구사이
1,종각,상행 6-4
1,종각,하행 4-4
1,종각,3번 출구측
1,종각,3번 출구측
1,종로3가,상행 4-4
1,종로3가,하행 6-4
1,종로3가,12-13번 출구측
1,종로5가,상행 8-3
1,종로5가,하행 3-2
1,종로5가,8-9번 출구측
1,동대문,상행 10-4
1,동대문,하행 2-1
1,동대문,6번 출구측
1,동묘앞,본관건물(상)6-2
1,동묘앞,상행 10-3
1,동묘앞,상행 4-8
1,동묘앞,하행 7-3
1,동묘앞,하행 1-2
1,동묘앞,1-10번 출구 사이
1,동묘앞,3번 출구측
1,신설동,상행 3-4
1,신설동,하행 8-1
1,신설동,1번 출구측
1,신설동,"2,3번 출구사이"
1,신설동,"4,5번 출구사이"
1,제기동,상행 9-4
1,제기동,하행 2-1
1,제기동,1번 출구측
1,청량리,섬식(상)8-2
1,청량리,6번 출구측
2,시청,섬식(외) 6-2
2,시청,9번 출구측
2,을지로입구,외선 5-3
2,을지로입구,내선 6-2
2,을지로입구,1번 출구측
2,을지로입구,5번 출구측
2,을지로3가,외선 8-3
2,을지로3가,내선 3-2
2,을지로4가,외선 3-2
2,을지로4가,내선 8-3
2,을지로4가,8번출구
2,동대문역사문화공원,외선 8-3
2,동대문역사문화공원,내선 3-2
2,동대문역사문화공원,1번 출구측
2,신당,2번 출구측
2,신당,외선 3-4
2,신당,내선 7-4
2,상왕십리,외선 8-1
2,상왕십리,내선 3-4
2,상왕십리,2-3출구 사이
2,왕십리,외선 3-2
2,왕십리,내선 3-4
2,한양대,섬식(외) 3-3
2,한양대,섬식(외) 8-2
2,한양대,4번 출구(육교)
2,뚝섬,외선 7-1
2,뚝섬,내선 7-1
2,뚝섬,3번 출구측
2,성수,외선 7-1
2,성수,내선 4-4
2,성수,1번 출구측
2,성수,4번 출구측
2,용답,섬식(상) 1-4
2,신답,외선 2-4
2,신답,내선 3-2
2,용두,외선 1-1
2,용두,내선 4-3
2,용두,3번 출구측
2,용두,4번 출구측
2,신설동,섬식(외) 4-3
2,신설동,9번 출구측
2,건대입구,섬식(외)5-4
2,건대입구,7-3 ~6번 출구측
2,구의,섬식(외)4-3
2,구의,7-2 ~ 2번 출구측
2,강변,외선 4-2
2,강변,내선 7-3
